internationalCode,currency,asxCode,name,alternativeName,acn,abn,website,imageURL,marketCap2021-02-11,effectiveFromDate,effectiveToDate
,,MICH,Magellan Infrastructure Fund (Currency Hedged)(Managed Fund),,,,,,$669.58 M,,
,,ADH,Adairs Ltd,,,,,,$667.85 M,,
,,JMS,Jupiter Mines Ltd,,,,,,$666.06 M,,
,,SGF,SG Fleet Group Ltd,,,,,,$665.89 M,,
,,AD8,Audinate Group Ltd,,,,,,$663.41 M,,
-,,DJW,Djerriwarrh Investments Ltd,,,,,,$658.55 M,,
,,SHV,Select Harvests Ltd,,,,,,$649.21 M,,
,,HDN,Homeco Daily Needs REIT,,,,,,$647.1 M,,
,,ADN,Andromeda Metals Ltd,,,,,,$645.82 M,,
,,ASM,Australian Strategic Materials Ltd,,,,,,$627.39 M,,
-,,SXL,Southern Cross Media Group Ltd,,,,,,$626.19 M,,
,,ECX,Eclipx Group Ltd,,,,,,$623.29 M,,
-,,ADI,Apn Industria REIT,,,,,,$618.06 M,,
,,GDI,GDI Property Group,,,,,,$617.91 M,,
,,HUM,Humm Group Ltd,,,,,,$614.13 M,,
,,OPT,Opthea Ltd,,,,,,$612.86 M,,
,,PPC,Peet Ltd,,,,,,$611.38 M,,
,,360,LIFE360 Inc,,,,,,$610.84 M,,
,,SPT,Splitit Payments Ltd,,,,,,$609.46 M,,
,,API,Australian Pharmaceutical Industries Ltd,,,,,,$603.5 M,,
,,VIF,Vanguard International Fixed Interest INDEX (Hedged) ETF,,,,,,$602.96 M,,
,,REG,Regis Healthcare Ltd,,,,,,$601.56 M,,
,,KAR,Karoon Energy Ltd,,,,,,$600.71 M,,
,,PAR,Paradigm Biopharmaceuticals Ltd,,,,,,$598.51 M,,
,,BFG,Bell Financial Group Ltd,,,,,,$596.58 M,,
,,EHL,Emeco Holdings Ltd,,,,,,$593.02 M,,
,,WPP,WPP AUNZ Ltd,,,,,,$592.25 M,,
,,CWP,Cedar Woods Properties Ltd,,,,,,$587.81 M,,
,,CMM,Capricorn Metals Ltd,,,,,,$584.76 M,,
-,,FGG,Future Generation Global Investment Company Ltd,,,,,,$581.56 M,,
,,MNY,MONEY3 Corporation Ltd,,,,,,$581.37 M,,
,,VGB,Vanguard Australian Government Bond INDEX ETF,,,,,,$579.33 M,,
,,AVZ,AVZ Minerals Ltd,,,,,,$578.03 M,,
,,VGI,VGI Partners Ltd,,,,,,$575.69 M,,
,,SLF,SPDR S&P/ASX 200 Listed Property Fund,,,,,,$571.55 M,,
,,ELO,Elmo Software Ltd,,,,,,$571.03 M,,
,,NTO,Nitro Software Ltd,,,,,,$569.16 M,,
-,,SYR,Syrah Resources Ltd,,,,,,$566.68 M,,
,,3DP,Pointerra Ltd,,,,,,$563.42 M,,
,,BWX,BWX Ltd,,,,,,$559.57 M,,
,,IEU,Ishares Europe ETF,,,,,,$558.26 M,,
-,,SKO,Serko Ltd,,,,,,$555.28 M,,
,,BILL,Ishares Core Cash ETF,,,,,,$554.4 M,,
,,WGB,Wam Global Ltd,,,,,,$553.06 M,,
,,EQT,EQT Holdings Ltd,,,,,,$553.03 M,,
,,BET,Betmakers Technology Group Ltd,,,,,,$547.66 M,,
,,MYX,Mayne Pharma Group Ltd,,,,,,$545.7 M,,
,,MIR,Mirrabooka Investments Ltd,,,,,,$540.59 M,,
,,HPI,Hotel Property Investments,,,,,,$539.73 M,,
,,MAH,Macmahon Holdings Ltd,,,,,,$538.75 M,,
,,AGG,Anglogold Ashanti Ltd,,,,,,$535.25 M,,
-,,PWG,Primewest,,,,,,$529.39 M,,
-,,HT1,HT&E Ltd,,,,,,$528.67 M,,
,,ABY,Adore Beauty Group Ltd,,,,,,$527.1 M,,
